वर्ष/तिथि,युद्ध का नाम,स्थान,पक्षकार,परिणाम
711 ई.,उमय्यद अभियान,राजस्थान (गुर्जर),"नागभट्ट प्रथम (गुर्जर-प्रतिहार), मेवाड़ के बप्पा रावल बनाम अरब","अरबों को हराया, सिंध वापस भेजा"
738 ई.,राजस्थान का युद्ध,राजस्थान,"बप्पा रावल, विक्रमादित्य द्वितीय (चालुक्य), नागभट्ट (प्रतिहार) बनाम उमय्यद/अब्बासिद","एकता की जीत, अरब पीछे हटे"
800–836 ई.,राजपूताना पर अरब आक्रमण,राजस्थान,"नागभट्ट द्वितीय (प्रतिहार), रावल खुमान द्वितीय (मेवाड़) बनाम सिंध के गवर्नर बशर",आक्रमण विफल
9वीं शताब्दी,उमय्यद आक्रमण,चित्तौड़ (मोरी राज्य),"गुहिल राजपूत (खुम्माण प्रथम, बप्पा रावल) बनाम अरब",पूर्ण विजय
1071 ई.,कछवाहा आक्रमण,धुंधाड़,दुल्हा राय (कछवाहा) बनाम बरगुजार और मीणा,धुंधाड़ पर कब्जा
1135-1150 ई.,अजमेर का युद्ध,अजमेर,अर्णोराज चौहान बनाम सेल्जूक (बह्रम शाह),राजपूत विजय
1150-1164 ई.,खेतड़ी का युद्ध,खेतड़ी (हांसी पर कब्जा),विग्रहराज चतुर्थ (चौहान) बनाम ग़ज़नवी (खुसरू शाह),"चौहान विजय, हांसी पर कब्जा"
1178 ई.,कसायड़ा का युद्ध,कसायड़ा,मूलराज द्वितीय (चौलुक्य) बनाम मुहम्मद ग़ोरी,मूलराज विजय
1182 ई.,महोबा का युद्ध,बुंदेलखंड (यूपी),पृथ्वीराज चौहान बनाम चंदेल,पृथ्वीराज विजय
1191/1192 ई.,तराइन का प्रथम/द्वितीय युद्ध,भटिंडा (पंजाब),पृथ्वीराज चौहान बनाम मुहम्मद ग़ोरी,प्रथम: राजपूत विजय; द्वितीय: ग़ोरी विजय
1196 ई.,बयाना की घेराबंदी,बयाना,मुहम्मद ग़ोरी बनाम जादौन राजपूत (कुमारपाल),बयाना पर कब्जा
1196 ई.,अजमेर का युद्ध,अजमेर,कुतुबुद्दीन ऐबक बनाम राजपूत-मेर संघ,राजपूत-मेर विजय
1211 ई.,जालौर की घेराबंदी,जालौर,इल्तुतमिश बनाम उदयसिंह,विफल
1226 ई.,रणथंभौर की घेराबंदी,रणथंभौर,इल्तुतमिश बनाम रणथंभौर,कब्जा
1227 ई.,मंडोर की घेराबंदी,मंडोर,इल्तुतमिश बनाम राजपूत,"कब्जा, फिर राजपूतों ने वापस लिया"
1234 ई.,भूताला/नागदा का युद्ध,नागदा,जयत्रसिंह बनाम इल्तुतमिश,इल्तुतमिश विजय
1236 ई.,रणथंभौर की घेराबंदी,रणथंभौर,वाघभट्ट चौहान बनाम रजिया,वापस लिया
1248 ई.,रणथंभौर की घेराबंदी,रणथंभौर,वाघभट्ट चौहान बनाम नासिरुद्दीन महमूद,सफल रक्षा
1253 ई.,रणथंभौर की घेराबंदी,रणथंभौर,वाघभट्ट चौहान बनाम मामलूक,आक्रमण विफल
1253-54 ई.,मेवाड़ आक्रमण,मेवाड़,रावल तेजसिंह बनाम बल्बन,श्रृंखला युद्ध
1255 ई.,मेवाड़ आक्रमण,मेवाड़,रावल तेजसिंह बनाम बल्बन,आक्रमण विफल
